count	reward_sum	squared_reward_sum	length
0	-101.07500751502812	10002.532762492729	68
1	-101.07024822942913	10001.053390576299	65
2	-103.0684162415564	10002.016028875267	57
3	-112.95377279073	10003.127434160426	66
4	-118.3981925805565	10006.61619079583	100
5	-33.14578636182705	8.821523287216857	1000
6	-106.69477785052732	10001.658894429584	53
7	-102.86378561705351	10000.481601835249	47
8	-102.2555202525109	10002.501561666888	69
9	-113.61714897165075	10003.176180435306	93
10	-29.231174078769982	6.34150313048091	1000
11	-99.2734747704817	10002.615213736015	66
12	-115.68638921901584	10006.524360749589	59
13	-36.67071122431662	5.795453866986746	1000
14	-113.23870927514508	10004.800657236205	61
15	-98.00391984824091	10005.408529941293	171
16	-29.033876933390275	8.116601014913082	1000
17	-115.76938596833497	10004.857333920616	89
18	-120.77690741419792	10007.72792412514	76
19	-120.03049251623452	10005.720969729411	100
20	-120.66582979261875	10007.570384267154	76
21	-119.29096756130457	10007.334710844692	71
22	-123.84948643669486	10008.24662051569	96
23	-122.37381793931127	10008.406828230502	83
24	-126.09922097250819	10008.786391924943	111
25	-116.94484124705195	10004.90502963585	75
26	-120.2462464608252	10005.984466473703	95
27	-121.48729668557644	10011.371556881864	43
28	-118.94324380904436	10007.353543081706	53
29	-110.55896547809243	10003.704515523152	112
30	-117.93598911911249	10006.064862180934	60
31	-115.3539114817977	10004.746647923728	55
32	-120.2648370526731	10006.89426179948	74
33	-114.07702115736902	10003.362541288401	78
34	-113.72102405875921	10003.65265510381	57
35	-147.4312647394836	10022.782555063495	235
36	-101.66701111663133	10003.16723312302	192
37	-138.80435908585787	10018.441602418607	174
38	-108.73478978872299	10003.73095380387	71
39	-103.97474990040064	10003.021092074947	71
40	-102.68361828103662	10001.754930927173	59
41	-108.04857639688998	10004.210568244369	48
42	-105.54097882844508	10002.97776719552	52
43	-106.06267455220222	10003.505686235925	63
44	-105.2201389465481	10002.596752559008	56
45	-105.00055095180869	10002.517813961691	45
46	-109.57407477498055	10004.99673461792	42
47	-104.80527154542506	10002.513382286344	47
48	-108.97893244028091	10004.064623796376	48
49	-105.33995317853987	10002.714668369928	52
50	-106.47199056856334	10002.972355042413	40
51	-105.29602337675169	10002.288554291954	46
52	-106.37002774700522	10002.937713385929	60
53	-106.04373312741518	10001.946917093093	57
54	-108.25751779600978	10002.517991395343	61
55	-114.71546770632267	10005.6608251061	62
56	-104.66830301377922	10002.114238585116	51
57	-109.56382216326892	10003.925462715017	55
58	-120.08513239771128	10011.40216300099	53
59	-113.20085908472538	10005.292937355012	52
60	-109.45373619347811	10003.019171391488	58
61	-121.03762551397085	10012.191370631106	54
62	-56.68482119869441	4.6527877123550825	1000
63	-119.48750090971589	10009.804541562173	93
64	-120.46023271791637	10011.355818230604	78
65	-97.94644581712782	10005.732368376744	83
66	-100.0829869620502	10003.723314490895	68
67	-99.78368746116757	10004.802617735866	66
68	-101.60567374527454	10002.592701681358	85
69	-96.82331469189376	10005.723880382033	79
70	-99.32211327366531	10003.112651441983	67
71	-100.58367602713406	10002.922299730537	58
72	-101.58192118443549	10003.847360081334	56
73	-100.73748554149643	10003.640082667747	60
74	-101.49482529237866	10003.444205195554	63
75	-101.84597663581371	10002.88392557158	58
76	-101.45417219214141	10003.317737408222	57
77	-100.61825435422361	10002.726592277162	62
78	-102.97733153193258	10003.24626685237	52
79	-101.15299069695175	10003.14516028388	59
80	-102.26013574656099	10003.407336217675	60
81	-102.0518548823893	10003.633829440441	57
82	-100.72376380674541	10003.18092419892	53
83	-101.32253836095333	10003.214516254251	56
84	-101.0441118888557	10003.043747033846	54
85	-100.90515293367207	10002.714522278984	56
86	-101.03126978781074	10002.941831648495	53
87	-100.87552354857326	10002.613991174569	52
88	-102.54059807956219	10002.966399101266	49
89	-100.2866542916745	10002.603939018205	55
90	-101.63773646019399	10002.87803176052	55
91	-101.36101416684687	10002.582767634896	51
92	-101.51258477941155	10002.266815097153	53
93	-101.0868186801672	10002.154520543501	59
94	-100.4306662697345	10002.121502502281	58
95	-100.68600164819509	10002.242941253584	64
96	-100.18897058768198	10002.000196760195	62
97	-102.2143852552399	10002.145371926335	67
98	-102.88712734403089	10001.637900870646	73
99	-104.87404231680557	10001.856882283088	102
100	-104.97913863952272	10001.947637233614	118
101	-103.80787027743645	10001.867674803974	110
102	-103.45872682752088	10002.039450145401	95
103	-102.64224264444783	10002.043666395699	87
104	-103.83456660155207	10002.437787644934	88
105	-104.37640094570816	10002.527611056923	75
106	-102.50670197815634	10002.307704989822	98
107	-102.68258102238178	10002.299168913094	80
108	-102.05551531165838	10002.800085484307	67
109	-103.68411691207439	10003.656409578745	81
110	-104.81273768190295	10003.158862112818	79
111	-104.46343841403723	10002.613298680599	81
